Name,Email,User Name,Notes,Attachments,Attachment Summary,University,Degree,Learning Habits,Career Goals,Struggling Concepts,Meet-up Distance,Meet-up Mode,Preference Categories,University : Weight,University : Score,University : Percent,Degree : Weight,Degree : Score,Degree : Percent,Learning Habits : Weight,Learning Habits : Score,Learning Habits : Percent,Struggling Concepts : Weight,Struggling Concepts : Score,Struggling Concepts : Percent,Career Trajectories : Weight,Career Trajectories : Score,Career Trajectories : Percent,Meet-up Distance : Weight,Meet-up Distance : Score,Meet-up Distance : Percent,Meet-up Mode : Weight,Meet-up Mode : Score,Meet-up Mode : Percent,Learning Style,Compatibility Score,Score Total,Student Matches (Student A),Student Matches (Student B),Student Matches,Groups (Members),Groups (Best Matched Students (AI)),Groups,Student-Group Matches,Student-Group Matches 2
Ava Williams,ava.williams@email.com,ava.williams,,,,"University of California, Berkeley",Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,9 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Ava Williams ↔ Aya Nakamura,Ava Williams ↔ Dariusz Kowalski,Ava Williams ↔ Diego Torres,Ava Williams ↔ Emily Brown,Ava Williams ↔ Ethan Johnson,Ava Williams ↔ Fatima Al-Farsi,Ava Williams ↔ Hana Kimura,Ava Williams ↔ Helena Costa,Ava Williams ↔ Ivan Horvat,Ava Williams ↔ Jacob Green,Ava Williams ↔ Kevin Nguyen,Ava Williams ↔ Leah Stein,Ava Williams ↔ Liam O'Connor,Ava Williams ↔ Lina Svensson,Ava Williams ↔ Linh Tran,Ava Williams ↔ Maria Rodriguez,Ava Williams ↔ Mateo Silva,Ava Williams ↔ Mei Chen,Ava Williams ↔ Nadia Benali,Ava Williams ↔ Olivia Wilson,Ava Williams ↔ Omar Farouk,Ava Williams ↔ Pedro Alvarez,Ava Williams ↔ Samantha Evans,Ava Williams ↔ Samuel Mensah,Ava Williams ↔ Sibel Yilmaz,Ava Williams ↔ Sofia Garcia,Ava Williams ↔ Sofia Petrova,Ava Williams ↔ Tariq Aziz,Ava Williams ↔ Tomasz Nowak,Ava Williams ↔ Victoria Smith,Ava Williams ↔ Wei Zhang,Ava Williams ↔ Yuki Tanaka","Aaliyah Mohammed ↔ Ava Williams,Ahmed El-Sayed ↔ Ava Williams,Ahmed Hassan ↔ Ava Williams,Alexei Ivanov ↔ Ava Williams,Anna Müller ↔ Ava Williams",,,,"Ava Williams ↔ Hana Kimura,Ava Williams ↔ Kevin Nguyen,Ahmed El-Sayed ↔ Ava Williams,Ava Williams ↔ Olivia Wilson","Ava Williams ↔ Ethan Johnson ↔ Lucas Meyer,Ava Williams ↔ Mateusz Zielinski ↔ Sofia Garcia,Ava Williams ↔ Lucas Meyer ↔ Omar Farouk",
Aya Nakamura,aya.nakamura@email.com,aya.nakamura,,,,University of Michigan – Ann Arbor,Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,10 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Aya Nakamura ↔ Dariusz Kowalski,Aya Nakamura ↔ Diego Torres,Aya Nakamura ↔ Emily Brown,Aya Nakamura ↔ Ethan Johnson,Aya Nakamura ↔ Fatima Al-Farsi,Aya Nakamura ↔ Hana Kimura,Aya Nakamura ↔ Helena Costa,Aya Nakamura ↔ Ivan Horvat,Aya Nakamura ↔ Jacob Green,Aya Nakamura ↔ Kevin Nguyen,Aya Nakamura ↔ Leah Stein,Aya Nakamura ↔ Liam O'Connor,Aya Nakamura ↔ Lina Svensson,Aya Nakamura ↔ Linh Tran,Aya Nakamura ↔ Lucas Meyer,Aya Nakamura ↔ Maria Rodriguez,Aya Nakamura ↔ Mateo Silva,Aya Nakamura ↔ Mateusz Zielinski,Aya Nakamura ↔ Mei Chen,Aya Nakamura ↔ Nadia Benali,Aya Nakamura ↔ Olivia Wilson,Aya Nakamura ↔ Omar Farouk,Aya Nakamura ↔ Samantha Evans,Aya Nakamura ↔ Samuel Mensah,Aya Nakamura ↔ Santiago Lopez,Aya Nakamura ↔ Sofia Garcia,Aya Nakamura ↔ Sofia Petrova,Aya Nakamura ↔ Tariq Aziz,Aya Nakamura ↔ Tomasz Nowak,Aya Nakamura ↔ Victoria Smith,Aya Nakamura ↔ Wei Zhang,Aya Nakamura ↔ Yuki Tanaka","Aaliyah Mohammed ↔ Aya Nakamura,Ahmed El-Sayed ↔ Aya Nakamura,Ahmed Hassan ↔ Aya Nakamura,Alexei Ivanov ↔ Aya Nakamura,Anna Müller ↔ Aya Nakamura,Ava Williams ↔ Aya Nakamura",,,,"Aya Nakamura ↔ Lucas Meyer,Aya Nakamura ↔ Fatima Al-Farsi,Ahmed Hassan ↔ Aya Nakamura,Aya Nakamura ↔ Liam O'Connor,Aya Nakamura ↔ Sofia Garcia,Aya Nakamura ↔ Santiago Lopez","Aya Nakamura ↔ Jacob Green ↔ Pedro Alvarez,Aya Nakamura ↔ Anna Müller ↔ Pedro Alvarez,Aya Nakamura ↔ Linh Tran ↔ Pedro Alvarez",
Ben Hoffmann,ben.hoffmann@email.com,ben.hoffmann,,,,Massachusetts Institute of Technology (MIT),Chemistry,"Lab work, group experiments",Chemical engineer,Struggles with organic chemistry,7 miles,Hybrid,"Degree,Career Trajectories,Meet-up Distance",3,100,22,0,0,0,3,100,22,2,90,20,3,100,22,1,70,15,1,70,15,2,,460,,,,,,,,
Benjamin Clark,benjamin.clark@email.com,benjamin.clark,,,,Georgia Institute of Technology,Medicine,"Case-based learning, clinical rotations",Surgeon,Anatomy,6 miles,Online,"University,Degree,Learning Habits,Meet-up Mode",2,90,16,3,100,18,2,90,16,1,70,13,3,100,18,3,100,18,3,100,18,Kinesthetic,,550,,,,,,,,
Benjamin Cohen,benjamin.cohen@email.com,benjamin.cohen,Notes not provided,,,"University of California, Los Angeles",Biology,"Group study, flashcards",Research scientist,Genetics,8 miles,In Person,"University,Degree,Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Distance,Meet-up Mode,Other",2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,2,90,17,Visual,,540,"Benjamin Cohen ↔ Gabriel Souza,Benjamin Cohen ↔ Jamal Carter,Benjamin Cohen ↔ Jin Park,Benjamin Cohen ↔ Juan Martinez,Benjamin Cohen ↔ Julia Nowak,Benjamin Cohen ↔ Marta Kowalczyk,Benjamin Cohen ↔ Mohamed Abdallah,Benjamin Cohen ↔ Mohammed Hassan,Benjamin Cohen ↔ Nia Williams,Benjamin Cohen ↔ Nour El-Din,Benjamin Cohen ↔ Oscar Lindberg,Benjamin Cohen ↔ Sienna Murphy,Benjamin Cohen ↔ Yusuf Ali","Amina Yusuf ↔ Benjamin Cohen,Andres Gomez ↔ Benjamin Cohen,Arjun Desai ↔ Benjamin Cohen",,None,None,Benjamin Cohen ↔ Mohammed Hassan,"Benjamin Cohen ↔ Amina Yusuf ↔ Julia Nowak,Benjamin Cohen ↔ Amina Yusuf ↔ Oscar Lindberg,Benjamin Cohen ↔ Jin Park ↔ Nia Williams",
Benjamin Lee,benjamin.lee@email.com,benjamin.lee,,,,Purdue University,Computer Science,"Hackathons, coding groups",Software architect,,8 miles,Hybrid,"Learning Habits,Struggling Concepts,Meet-up Mode",1,70,16,2,90,21,3,100,23,3,100,23,0,0,0,1,70,16,1,70,16,,,430,,,,,,,,
Carlos Mendez,carlos.mendez@email.com,carlos.mendez,,,,University of Texas at Austin,Economics,"Case studies, podcasts",Market researcher,Behavioral economics,10 miles,Hybrid,"University,Learning Habits,Career Trajectories,Meet-up Mode",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Auditory,,480,,,,,,,,
Carlos Ramirez,carlos.ramirez@email.com,carlos.ramirez,,,,University of Illinois Urbana–Champaign,Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,10 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,"Carlos Ramirez ↔ Chinonso Okafor,Carlos Ramirez ↔ Elena Popova,Carlos Ramirez ↔ Grace Lee,Carlos Ramirez ↔ Hiroshi Sato,Carlos Ramirez ↔ Laila Rahman,Carlos Ramirez ↔ Lucas Evans,Carlos Ramirez ↔ Maya Sharma,Carlos Ramirez ↔ Mikhail Orlov,Carlos Ramirez ↔ Noah Weber,Carlos Ramirez ↔ Rashid Khan,Carlos Ramirez ↔ Sana Qureshi,Carlos Ramirez ↔ Svetlana Ivanova,Carlos Ramirez ↔ Viktor Novak,Carlos Ramirez ↔ Zara Ali",,,,,"Carlos Ramirez ↔ Chinonso Okafor,Carlos Ramirez ↔ Ravi Kumar,Carlos Ramirez ↔ Svetlana Ivanova","Carlos Ramirez ↔ Aisha Bello ↔ Noah Weber,Carlos Ramirez ↔ Aisha Bello ↔ Leila Haddad,Carlos Ramirez ↔ Aisha Bello ↔ Sana Qureshi",
Carolin Roth,carolin.roth@email.com,carolin.roth,,,,Florida International University,Physics,"Studies in libraries, prefers quiet",Become a professor,Struggles with electromagnetism,12 miles,Hybrid,"University,Struggling Concepts,Meet-up Distance",1,70,13,2,90,17,3,100,19,3,100,19,1,70,13,3,100,19,3,100,19,3,,530,,,,,,,,
Charlotte Brown,charlotte.brown@email.com,charlotte.brown,,,,University of Texas at Austin,Psychology,"Case analysis, group therapy simulations",Clinical psychologist,,9 miles,In Person,"University,Degree,Learning Habits",1,70,17,2,90,21,3,100,24,0,0,0,2,90,21,1,70,17,1,70,17,,,420,,,,,,,,
Charlotte Evans,charlotte.evans@email.com,charlotte.evans,,,,University of Michigan – Ann Arbor,Law,"Moot court, essay writing",Corporate lawyer,Contract law,7 miles,Online,"Degree,Learning Habits,Struggling Concepts,Meet-up Mode",3,100,18,2,90,16,3,100,18,2,90,16,2,90,16,2,90,16,2,90,16,Reading/Writing,,560,,,,,,,,
Chen Wei,chen.wei@email.com,chen.wei,,,,"University of California, San Diego",Computer Engineering,"Online forums, coding groups",Software developer,,8 miles,In Person,"University,Learning Habits,Career Trajectories,Meet-up Mode",3,100,18,1,70,13,3,100,18,2,90,16,3,100,18,2,90,16,2,90,16,,,550,Chen Wei ↔ Clara Weiß,,,,,,,
Chinonso Okafor,chinonso.okafor@email.com,chinonso.okafor,,,,University of Miami,Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,9 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,"Chinonso Okafor ↔ David Kim,Chinonso Okafor ↔ Emily Clark,Chinonso Okafor ↔ Fatoumata Diallo,Chinonso Okafor ↔ Hannah Müller,Chinonso Okafor ↔ Isabella Rossi,Chinonso Okafor ↔ Ivan Petrov,Chinonso Okafor ↔ Kwame Boateng,Chinonso Okafor ↔ Leila Haddad,Chinonso Okafor ↔ Mariam Habib,Chinonso Okafor ↔ Maya Cohen,Chinonso Okafor ↔ Mustafa Demir,Chinonso Okafor ↔ Oluwaseun Adeyemi,Chinonso Okafor ↔ Priya Patel,Chinonso Okafor ↔ Ravi Kumar,Chinonso Okafor ↔ Samuel Lee,Chinonso Okafor ↔ Sara Ahmed,Chinonso Okafor ↔ Sophie Dubois,Chinonso Okafor ↔ Thiago Pereira,Chinonso Okafor ↔ Yara Mansour","Aisha Abdi ↔ Chinonso Okafor,Aisha Bello ↔ Chinonso Okafor,Ava Thompson ↔ Chinonso Okafor,Carlos Ramirez ↔ Chinonso Okafor",,,,"Chinonso Okafor ↔ Svetlana Ivanova,Chinonso Okafor ↔ Viktor Novak,Carlos Ramirez ↔ Chinonso Okafor,Chinonso Okafor ↔ Sana Qureshi,Chinonso Okafor ↔ Priya Patel,Ava Thompson ↔ Chinonso Okafor,Chinonso Okafor ↔ Emily Clark,Chinonso Okafor ↔ Mustafa Demir","Chinonso Okafor ↔ Emily Clark ↔ Svetlana Ivanova,Chinonso Okafor ↔ Grace Lee ↔ Ravi Kumar,Chinonso Okafor ↔ Ivan Petrov ↔ Maya Sharma",
Chloe Dubois,chloe.dubois@email.com,chloe.dubois,,,,University of Miami,Literature,"Book clubs, essay writing",Literary critic,French poetry,6 miles,Online,"Degree,Learning Habits,Meet-up Distance",3,100,19,2,90,17,1,70,13,1,70,13,3,100,19,3,100,19,3,100,19,Reading/Writing,,530,,,,,,,,
Chloe Lewis,chloe.lewis@email.com,chloe.lewis,,,,University of Illinois Urbana–Champaign,Drama,"Theatre productions, script analysis",Stage director,,10 miles,Hybrid,"University,Learning Habits,Struggling Concepts,Meet-up Mode",2,90,20,1,70,16,3,100,22,3,100,22,0,0,0,2,90,20,2,90,20,,,450,"Chloe Lewis ↔ David Schmitt,Chloe Lewis ↔ Laura Richter",,,,,"Chloe Lewis ↔ David Schmitt,Chloe Lewis ↔ Laura Richter",Chloe Lewis ↔ David Schmitt ↔ Laura Richter,
Clara Weiß,clara.weiss@email.com,clara.weiss,,,,University of Michigan – Ann Arbor,Computer Engineering,"Online forums, coding groups",Software developer,Struggles with algorithms,8 miles,In Person,"University,Learning Habits,Career Trajectories,Meet-up Mode",1,70,13,3,100,18,3,100,18,2,90,16,3,100,18,3,100,18,3,100,18,2,,560,,Chen Wei ↔ Clara Weiß,,,,,,
Daniel King,daniel.king@email.com,daniel.king,,,,"University of California, Los Angeles",Chemistry,"Lab work, group experiments",Chemical engineer,,7 miles,Hybrid,"Degree,Career Trajectories,Meet-up Distance,Meet-up Mode",1,70,16,3,100,22,0,0,0,2,90,20,3,100,22,2,90,20,2,90,20,,,450,,,,,,,,
Daniel Wright,daniel.wright@email.com,daniel.wright,,,,Massachusetts Institute of Technology (MIT),History,"Archival research, lectures",Archivist,African history,11 miles,Online,"University,Struggling Concepts,Meet-up Distance",3,100,19,1,70,13,2,90,17,2,90,17,3,100,19,1,70,13,1,70,13,Visual,,520,,,,,,,,
Dariusz Kowalski,dariusz.kowalski@email.com,dariusz.kowalski,,,,Georgia Institute of Technology,Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,10 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Dariusz Kowalski ↔ Emily Brown,Dariusz Kowalski ↔ Ethan Johnson,Dariusz Kowalski ↔ Fatima Al-Farsi,Dariusz Kowalski ↔ Hana Kimura,Dariusz Kowalski ↔ Helena Costa,Dariusz Kowalski ↔ Ivan Horvat,Dariusz Kowalski ↔ Jacob Green,Dariusz Kowalski ↔ Leah Stein,Dariusz Kowalski ↔ Lina Svensson,Dariusz Kowalski ↔ Linh Tran,Dariusz Kowalski ↔ Lucas Meyer,Dariusz Kowalski ↔ Maria Rodriguez,Dariusz Kowalski ↔ Mateo Silva,Dariusz Kowalski ↔ Mateusz Zielinski,Dariusz Kowalski ↔ Mei Chen,Dariusz Kowalski ↔ Nadia Benali,Dariusz Kowalski ↔ Olivia Wilson,Dariusz Kowalski ↔ Omar Farouk,Dariusz Kowalski ↔ Pedro Alvarez,Dariusz Kowalski ↔ Samantha Evans,Dariusz Kowalski ↔ Samuel Mensah,Dariusz Kowalski ↔ Santiago Lopez,Dariusz Kowalski ↔ Sibel Yilmaz,Dariusz Kowalski ↔ Sofia Garcia,Dariusz Kowalski ↔ Sofia Petrova,Dariusz Kowalski ↔ Tariq Aziz,Dariusz Kowalski ↔ Tomasz Nowak,Dariusz Kowalski ↔ Victoria Smith,Dariusz Kowalski ↔ Yuki Tanaka","Aaliyah Mohammed ↔ Dariusz Kowalski,Ahmed El-Sayed ↔ Dariusz Kowalski,Ahmed Hassan ↔ Dariusz Kowalski,Alexei Ivanov ↔ Dariusz Kowalski,Anna Müller ↔ Dariusz Kowalski,Ava Williams ↔ Dariusz Kowalski,Aya Nakamura ↔ Dariusz Kowalski",,,,"Dariusz Kowalski ↔ Kevin Nguyen,Dariusz Kowalski ↔ Wei Zhang,Dariusz Kowalski ↔ Mateo Silva,Alexei Ivanov ↔ Dariusz Kowalski,Dariusz Kowalski ↔ Yuki Tanaka,Dariusz Kowalski ↔ Samuel Mensah,Anna Müller ↔ Dariusz Kowalski,Dariusz Kowalski ↔ Jacob Green,Ahmed Hassan ↔ Dariusz Kowalski","Dariusz Kowalski ↔ Lucas Meyer ↔ Wei Zhang,Dariusz Kowalski ↔ Jacob Green ↔ Kevin Nguyen,Dariusz Kowalski ↔ Kevin Nguyen ↔ Mei Chen",
David Brown,david.brown@email.com,david.brown,,,,University of Texas at Austin,Mathematics,"Online courses, spaced repetition",Actuary,,8 miles,Hybrid,"University,Degree,Meet-up Distance",2,90,17,3,100,19,1,70,13,2,90,17,1,70,13,3,100,19,3,100,19,,,520,,,,,,,,
David Kim,david.kim@email.com,david.kim,,,,Cornell University,Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,10 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,"David Kim ↔ Grace Lee,David Kim ↔ Hiroshi Sato,David Kim ↔ Laila Rahman,David Kim ↔ Maya Sharma,David Kim ↔ Mikhail Orlov,David Kim ↔ Noah Weber,David Kim ↔ Rashid Khan,David Kim ↔ Sana Qureshi,David Kim ↔ Svetlana Ivanova,David Kim ↔ Viktor Novak,David Kim ↔ Zara Ali","Ananya Singh ↔ David Kim,Chinonso Okafor ↔ David Kim",,,,"David Kim ↔ Isabella Rossi,David Kim ↔ Sophie Dubois,David Kim ↔ Hiroshi Sato,David Kim ↔ Emily Clark","David Kim ↔ Isabella Rossi ↔ Mina Hassan,David Kim ↔ Isabella Rossi ↔ Mariam Habib,David Kim ↔ Elena Popova ↔ Mustafa Demir",
David Osei,david.osei@email.com,david.osei,,,,California Institute of Technology (Caltech),Economics,"Case studies, podcasts",Development economist,Microfinance,8 miles,In Person,"Learning Habits,Meet-up Distance,Other",2,90,17,3,100,19,1,70,13,3,100,19,1,70,13,2,90,17,2,90,17,Auditory,,520,,,,,,,,
David Schmitt,david.schmitt@email.com,david.schmitt,,,,California Institute of Technology (Caltech),Drama,"Theatre productions, script analysis",Stage director,Struggles with stage design,10 miles,In Person,"University,Learning Habits,Struggling Concepts,Meet-up Mode",1,70,15,3,100,22,3,100,22,3,100,22,0,0,0,2,90,20,2,90,20,2,,460,David Schmitt ↔ Laura Richter,Chloe Lewis ↔ David Schmitt,,,,"David Schmitt ↔ Laura Richter,Chloe Lewis ↔ David Schmitt",David Schmitt ↔ Chloe Lewis ↔ Laura Richter,
David Smith,david.smith@email.com,david.smith,,,,Cornell University,History,"Archival research, lectures",Historian,Medieval history,8 miles,Online,"Learning Habits,Meet-up Distance,Other,Meet-up Mode",2,90,17,3,100,19,1,70,13,3,100,19,1,70,13,2,90,17,2,90,17,Auditory,,520,,,,,,,,
Diego Rivera,diego.rivera@email.com,diego.rivera,,,,Florida International University,Architecture,"Sketching, site visits",Urban planner,Urban design,8 miles,Online,"Learning Habits,Meet-up Distance,Other,Meet-up Mode",2,90,17,3,100,19,1,70,13,3,100,19,1,70,13,2,90,17,2,90,17,Auditory,,520,Diego Rivera ↔ Mateo González,,,,,,,
Diego Torres,diego.torres@email.com,diego.torres,,,,Georgia Institute of Technology,Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,9 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Diego Torres ↔ Emily Brown,Diego Torres ↔ Ethan Johnson,Diego Torres ↔ Fatima Al-Farsi,Diego Torres ↔ Hana Kimura,Diego Torres ↔ Helena Costa,Diego Torres ↔ Ivan Horvat,Diego Torres ↔ Jacob Green,Diego Torres ↔ Leah Stein,Diego Torres ↔ Lina Svensson,Diego Torres ↔ Linh Tran,Diego Torres ↔ Lucas Meyer,Diego Torres ↔ Maria Rodriguez,Diego Torres ↔ Mateo Silva,Diego Torres ↔ Mateusz Zielinski,Diego Torres ↔ Mei Chen,Diego Torres ↔ Nadia Benali,Diego Torres ↔ Olivia Wilson,Diego Torres ↔ Omar Farouk,Diego Torres ↔ Pedro Alvarez,Diego Torres ↔ Samantha Evans,Diego Torres ↔ Samuel Mensah,Diego Torres ↔ Santiago Lopez,Diego Torres ↔ Sibel Yilmaz,Diego Torres ↔ Sofia Garcia,Diego Torres ↔ Sofia Petrova,Diego Torres ↔ Tariq Aziz,Diego Torres ↔ Tomasz Nowak,Diego Torres ↔ Victoria Smith,Diego Torres ↔ Yuki Tanaka","Aaliyah Mohammed ↔ Diego Torres,Ahmed El-Sayed ↔ Diego Torres,Ahmed Hassan ↔ Diego Torres,Alexei Ivanov ↔ Diego Torres,Anna Müller ↔ Diego Torres,Ava Williams ↔ Diego Torres,Aya Nakamura ↔ Diego Torres",,,,"Diego Torres ↔ Kevin Nguyen,Diego Torres ↔ Jacob Green,Diego Torres ↔ Leah Stein,Diego Torres ↔ Nadia Benali,Diego Torres ↔ Omar Farouk,Diego Torres ↔ Tariq Aziz,Alexei Ivanov ↔ Diego Torres","Diego Torres ↔ Dariusz Kowalski ↔ Mateo Silva,Diego Torres ↔ Alexei Ivanov ↔ Dariusz Kowalski,Diego Torres ↔ Dariusz Kowalski ↔ Yuki Tanaka",
Elena Ivanova,elena.ivanova@email.com,elena.ivanova,,,,"University of California, San Diego",Physics,"Problem sets, online lectures",Theoretical physicist,Quantum mechanics,7 miles,Hybrid,"Degree,Learning Habits,Meet-up Distance",3,100,19,2,90,17,1,70,13,1,70,13,3,100,19,3,100,19,3,100,19,Visual,,530,,,,,,,,
Elena Petrova,elena.petrova@email.com,elena.petrova,,,,Stanford University,Physics,"Problem sets, online lectures",Theoretical physicist,Quantum mechanics,7 miles,In Person,"Degree,Learning Habits,Meet-up Distance",3,100,19,2,90,17,1,70,13,1,70,13,3,100,19,3,100,19,3,100,19,Visual,,530,,,,,,,,
Elena Popova,elena.popova@email.com,elena.popova,,,,Cornell University,Biology,"Lab work, field research",Ecologist,Ecosystem dynamics,9 miles,In Person,"University,Learning Habits,Career Trajectories",1,70,15,3,100,21,1,70,15,3,100,21,1,70,15,1,70,15,1,70,15,Kinesthetic,,480,"Elena Popova ↔ Emily Clark,Elena Popova ↔ Fatoumata Diallo,Elena Popova ↔ Hannah Müller,Elena Popova ↔ Ivan Petrov,Elena Popova ↔ Kwame Boateng,Elena Popova ↔ Leila Haddad,Elena Popova ↔ Mariam Habib,Elena Popova ↔ Maya Cohen,Elena Popova ↔ Mina Hassan,Elena Popova ↔ Mustafa Demir,Elena Popova ↔ Oluwaseun Adeyemi,Elena Popova ↔ Priya Patel,Elena Popova ↔ Ravi Kumar,Elena Popova ↔ Samuel Lee,Elena Popova ↔ Sara Ahmed,Elena Popova ↔ Sophie Dubois,Elena Popova ↔ Thiago Pereira,Elena Popova ↔ Yara Mansour","Aisha Abdi ↔ Elena Popova,Aisha Bello ↔ Elena Popova,Ava Thompson ↔ Elena Popova,Carlos Ramirez ↔ Elena Popova",,,,"Elena Popova ↔ Mustafa Demir,Elena Popova ↔ Oluwaseun Adeyemi,Elena Popova ↔ Emily Clark,Elena Popova ↔ Hannah Müller","Elena Popova ↔ Lucas Evans ↔ Mikhail Orlov,Elena Popova ↔ David Kim ↔ Hiroshi Sato,Elena Popova ↔ Grace Lee ↔ Isabella Rossi",
Elijah Jones,elijah.jones@email.com,elijah.jones,,,,California Institute of Technology (Caltech),Mathematics,"Problem sets, group discussions",Data scientist,Abstract algebra,6 miles,Online,"Degree,Learning Habits,Meet-up Distance,Meet-up Mode",2,90,17,3,100,19,1,70,13,1,70,13,3,100,19,3,100,19,3,100,19,Visual,,530,,,,,,,,
Ella Harris,ella.harris@email.com,ella.harris,,,,University of Miami,Anthropology,"Ethnographic studies, fieldwork",Museum director,,10 miles,In Person,"Degree,Learning Habits,Struggling Concepts",0,0,0,3,100,22,2,90,20,3,100,22,1,70,16,2,90,20,2,90,20,,,450,,,,,,,,
Ella King,ella.king@email.com,ella.king,,,,University of Texas at Austin,Philosophy,"Essay writing, group debates",Ethicist,Logic,12 miles,Hybrid,"Degree,Learning Habits,Struggling Concepts,Meet-up Mode",2,90,17,2,90,17,3,100,19,1,70,13,2,90,17,3,100,19,3,100,19,Reading/Writing,,540,,,,,,,,
Emily Brown,emily.brown@email.com,emily.brown,,,,Florida International University,Engineering,"Hands-on projects, group work",Mechanical engineer,Thermodynamics,10 miles,In Person,"Learning Habits,Struggling Concepts,Career Trajectories,Meet-up Mode",2,90,17,3,100,19,3,100,19,2,90,17,2,90,17,1,70,13,1,70,13,Kinesthetic,,540,"Emily Brown ↔ Ethan Johnson,Emily Brown ↔ Fatima Al-Farsi,Emily Brown ↔ Hana Kimura,Emily Brown ↔ Ivan Horvat,Emily Brown ↔ Jacob Green,Emily Brown ↔ Kevin Nguyen,Emily Brown ↔ Leah Stein,Emily Brown ↔ Liam O'Connor,Emily Brown ↔ Lina Svensson,Emily Brown ↔ Linh Tran,Emily Brown ↔ Lucas Meyer,Emily Brown ↔ Maria Rodriguez,Emily Brown ↔ Mateo Silva,Emily Brown ↔ Mateusz Zielinski,Emily Brown ↔ Mei Chen,Emily Brown ↔ Nadia Benali,Emily Brown ↔ Olivia Wilson,Emily Brown ↔ Omar Farouk,Emily Brown ↔ Pedro Alvarez,Emily Brown ↔ Samantha Evans,Emily Brown ↔ Samuel Mensah,Emily Brown ↔ Santiago Lopez,Emily Brown ↔ Sibel Yilmaz,Emily Brown ↔ Sofia Petrova,Emily Brown ↔ Tariq Aziz,Emily Brown ↔ Tomasz Nowak,Emily Brown ↔ Victoria Smith,Emily Brown ↔ Wei Zhang,Emily Brown ↔ Yuki Tanaka","Aaliyah Mohammed ↔ Emily Brown,Ahmed El-Sayed ↔ Emily Brown,Ahmed Hassan ↔ Emily Brown,Alexei Ivanov ↔ Emily Brown,Anna Müller ↔ Emily Brown,Ava Williams ↔ Emily Brown,Aya Nakamura ↔ Emily Brown,Dariusz Kowalski ↔ Emily Brown,Diego Torres ↔ Emily Brown",,,,"Emily Brown ↔ Samantha Evans,Emily Brown ↔ Hana Kimura,Emily Brown ↔ Sofia Petrova,Emily Brown ↔ Santiago Lopez,Emily Brown ↔ Samuel Mensah,Emily Brown ↔ Lucas Meyer","Emily Brown ↔ Mateusz Zielinski ↔ Sofia Garcia,Emily Brown ↔ Aya Nakamura ↔ Sofia Garcia,Emily Brown ↔ Helena Costa ↔ Samantha Evans",
Emily Chen,emily.chen@email.com,emily.chen,,,,"University of California, Berkeley",Biology,"Group projects, likes teaching others",Medical school,,5 miles,Hybrid,"Learning Habits,Career Trajectories,Meet-up Mode",1,70,13,2,90,17,3,100,19,1,70,13,3,100,19,2,90,17,2,90,17,,,520,,,,,,,,
